State,Post_Comm,StreetName,StN_PosDir,Add_Number,StN_PosTyp
NJ,MOORESTOWN,ERRICKSON,NULL,15,AVENUE
NJ,MOORESTOWN,RIVERTON,NULL,800,ROAD
NJ,MOORESTOWN,FERNWOOD,NULL,804,ROAD
NJ,MOORESTOWN,BARTRAM,NULL,556,ROAD
NJ,LUMBERTON,NASSAU,NULL,30,ROAD
NJ,LUMBERTON,CHASE,NULL,19,ROAD
NJ,LUMBERTON,STREAMLET,NULL,11,COURT
NJ,LUMBERTON,EAYRESTOWN NEWBOLDS,NULL,609,ROAD
NJ,LUMBERTON,HARROGATE,NULL,22,DRIVE
NJ,MOORESTOWN,STANWICK,NULL,314,ROAD
NJ,MOORESTOWN,3RD,NULL,323,STREET
NJ,MOORESTOWN,OAK,NULL,126,AVENUE
NJ,MOORESTOWN,PEPPERBUSH,NULL,7,LANE
NJ,MOORESTOWN,NICHOLSON,NULL,246,DRIVE
NJ,MOORESTOWN,LIPPINCOTT,NULL,710,AVENUE
NJ,MOORESTOWN,WALKER,NULL,143,AVENUE
NJ,MOORESTOWN,CENTRAL,NULL,130,AVENUE
NJ,MOORESTOWN,MAPLE,NULL,104,AVENUE
NJ,MOORESTOWN,CLARK,NULL,208,AVENUE
NJ,MOORESTOWN,WALKER,NULL,134,AVENUE
NJ,MOORESTOWN,CENTRAL,NULL,11,AVENUE
NJ,MAPLE SHADE,WOODLAWN,NULL,739,AVENUE
NJ,MOORESTOWN,2ND,NULL,515,STREET
NJ,MOORESTOWN,2ND,NULL,609,STREET
NJ,MOORESTOWN,MILLER,NULL,3,COURT
NJ,MOORESTOWN,BENTLEY,NULL,718,COURT
NJ,MOORESTOWN,MERION,NULL,4,AVENUE
NJ,MOORESTOWN,WILSON,NULL,104,AVENUE
NJ,MOORESTOWN,MOORE,NULL,18,STREET
NJ,MOORESTOWN,MOORE,NULL,14,STREET
NJ,MOORESTOWN,FERNWOOD,NULL,928,ROAD
NJ,MOORESTOWN,CAMBRIDGE,NULL,6,COURT
NJ,MOORESTOWN,CARDINAL,NULL,21,DRIVE
NJ,MOORESTOWN,FERNWOOD,NULL,904,ROAD
NJ,MOORESTOWN,RIDING,NULL,99,DRIVE
NJ,MOORESTOWN,RIDING,NULL,261,DRIVE
NJ,MOORESTOWN,ROBIN,NULL,41,ROAD
NJ,MOORESTOWN,STANWICK,NULL,117,ROAD
NJ,MOORESTOWN,CHURCH,NULL,722,STREET
NJ,MOORESTOWN,ROCKLAND,NULL,175,AVENUE
NJ,MOORESTOWN,FARMDALE,NULL,304,ROAD
NJ,MOORESTOWN,BARTRAM,NULL,531,ROAD
NJ,MOORESTOWN,SPRUCE,NULL,11,AVENUE
NJ,MOORESTOWN,OAK,NULL,101,AVENUE
NJ,MOORESTOWN,CHURCH,NULL,551,STREET
NJ,MOORESTOWN,CHURCH,NULL,544,STREET
NJ,MOORESTOWN,MILL,NULL,223,STREET
NJ,MOORESTOWN,2ND,NULL,30,STREET
NJ,MOORESTOWN,COLLINS,NULL,316,AVENUE
NJ,MOORESTOWN,CAMDEN,NULL,606,AVENUE
NJ,MOORESTOWN,PARK,NULL,426,BOULEVARD
NJ,MOORESTOWN,DEVON,NULL,510,ROAD
NJ,MOORESTOWN,CAMDEN,NULL,455,AVENUE
NJ,LUMBERTON,BRIDGE,NULL,13,ROAD
NJ,LUMBERTON,MUNICIPAL,NULL,18,DRIVE
NJ,LUMBERTON,CALVERT,NULL,29,LANE
NJ,LUMBERTON,BRIDGE,NULL,4,ROAD
NJ,LUMBERTON,STACY HAINES,NULL,125,ROAD
NJ,MOORESTOWN,2ND,NULL,52,STREET
NJ,MOORESTOWN,DEVON,NULL,629,AVENUE
NJ,MOORESTOWN,COUNTRY CLUB,NULL,228,DRIVE
NJ,LUMBERTON,LEXINGTON,NULL,77,AVENUE
NJ,MAPLE SHADE,GERMANTOWN,NULL,244,AVENUE
NJ,MOORESTOWN,BALDWIN HILL,NULL,7,PLACE
NJ,MOORESTOWN,PINE,NULL,203,STREET
NJ,MOORESTOWN,COBBLESTONE,NULL,2,COURT
NJ,MOORESTOWN,WHITETAIL,NULL,2,COURT
NJ,MOORESTOWN,LINCOLN,NULL,619,AVENUE
NJ,MOORESTOWN,LENOLA,NULL,626,ROAD
NJ,MOORESTOWN,RIVERTON,NULL,1029,ROAD
NJ,MOORESTOWN,ROBIN,NULL,2,ROAD
NJ,MOORESTOWN,HERITAGE,NULL,893,ROAD
NJ,MOORESTOWN,MANSFIELD,NULL,905,DRIVE
NJ,MOORESTOWN,ERRICKSON,NULL,125,AVENUE
NJ,MOORESTOWN,RIDING,NULL,260,DRIVE
NJ,MOORESTOWN,RIDING,NULL,241,DRIVE
NJ,MOORESTOWN,OLDERSHAW,NULL,433,AVENUE
NJ,MOORESTOWN,ALLISON,NULL,770,COURT
NJ,MOORESTOWN,SHIRLEY,NULL,16,AVENUE
NJ,MOORESTOWN,LIPPINCOTT,NULL,727,AVENUE
NJ,MOORESTOWN,COVINGTON,NULL,612,TERRACE
NJ,MOORESTOWN,CLAYPOOLE,NULL,22,AVENUE
NJ,MOORESTOWN,LENOLA,NULL,12,ROAD
NJ,MOORESTOWN,LENOLA,NULL,122,ROAD
NJ,MOORESTOWN,BORTON LANDING,NULL,309,ROAD
NJ,MOORESTOWN,CARDINAL,NULL,10,DRIVE
NJ,MOORESTOWN,FERNWOOD,NULL,810,ROAD
NJ,DELRAN,ASTER,NULL,2,COURT
NJ,MOORESTOWN,MILL,NULL,741,STREET
NJ,MOORESTOWN,DOUGLAS,NULL,212,COURT
NJ,MOORESTOWN,CARRAIGE HILL,NULL,241,ROAD
NJ,MOORESTOWN,NEW ALBANY,NULL,551,ROAD
NJ,MOORESTOWN,LORRAINE,NULL,182,AVENUE
NJ,MOORESTOWN,LORRAINE,NULL,195,AVENUE
NJ,MOORESTOWN,FULLERTON,NULL,5,ROAD
NJ,MOORESTOWN,WALNUT,NULL,18,AVENUE
NJ,MOORESTOWN,MAPLE,NULL,130,AVENUE
NJ,MOORESTOWN,WASHINGTON,NULL,408,AVENUE
NJ,MOORESTOWN,ROBIN,NULL,21,ROAD
NJ,MOORESTOWN,RIDING,NULL,221,DRIVE
NJ,MOORESTOWN,DEMAREST,NULL,225,ROAD
NJ,MOORESTOWN,WHITTENDALE,NULL,9,DRIVE
NJ,MOORESTOWN,2ND,NULL,111,STREET
NJ,MOORESTOWN,3RD,NULL,6,STREET
NJ,MOORESTOWN,3RD,NULL,8,STREET
NJ,MOORESTOWN,CAMDEN,NULL,505,AVENUE
NJ,MOORESTOWN,COLLINS,NULL,309,AVENUE
NJ,MOORESTOWN,COVINGTON,NULL,531,TERRACE
NJ,MOORESTOWN,COVINGTON,NULL,603,TERRACE
NJ,MOORESTOWN,GREENVALE,NULL,14,ROAD
NJ,MOORESTOWN,PLEASANT VALLEY,NULL,207,AVENUE
NJ,MOORESTOWN,WESTFIELD,NULL,1003,ROAD
NJ,MOORESTOWN,MAIN,NULL,309,STREET
NJ,MOORESTOWN,MOUNT LAUREL,NULL,201,ROAD
NJ,MOORESTOWN,WINDERMERE,NULL,4,DRIVE
NJ,LUMBERTON,SPOUT SPRING,NULL,244,AVENUE
NJ,LUMBERTON,ROCKLAND,NULL,20,TERRACE
NJ,LUMBERTON,AMARYLLIS,NULL,24,LANE
NJ,LUMBERTON,BROOK,NULL,15,LANE
NJ,LUMBERTON,CAITLIN,NULL,3,COURT
NJ,MOORESTOWN,3RD,NULL,349,STREET
NJ,MOORESTOWN,LINCOLN,NULL,605,TERRACE
NJ,MOORESTOWN,BEACON,NULL,608,STREET
NJ,MOORESTOWN,FOREST,NULL,108,ROAD
NJ,MOORESTOWN,SPRINGHOUSE,NULL,309,LANE
NJ,MOUNT HOLLY,HILLSIDE,NULL,17,ROAD
NJ,MOORESTOWN,BRIDGEBORO,NULL,130,ROAD
NJ,MOORESTOWN,3RD,NULL,98,STREET
NJ,MOUNT HOLLY,PARKVIEW,NULL,411,DRIVE
NJ,MOUNT HOLLY,WOODLANE,NULL,836,ROAD
NJ,MOUNT HOLLY,MARTIN,NULL,322,AVENUE
NJ,MOORESTOWN,MAIN,NULL,13,STREET
NJ,MOORESTOWN,CENTRAL,NULL,42,AVENUE
NJ,MOORESTOWN,2ND,NULL,30,STREET
NJ,MOORESTOWN,CENTRAL,NULL,16,AVENUE
NJ,MOORESTOWN,3RD,NULL,31,STREET
NJ,MOORESTOWN,REGANHARDT,NULL,515,AVENUE
NJ,MOORESTOWN,BARTRAM,NULL,520,ROAD
NJ,MOORESTOWN,IRON POST,NULL,723,ROAD
NJ,MOORESTOWN,PARK,NULL,394,BOULEVARD
NJ,MOORESTOWN,OAK,NULL,109,AVENUE
NJ,MOORESTOWN,KENILWORTH,NULL,331,AVENUE
NJ,MOORESTOWN,WALNUT,NULL,6,COURT
NJ,MOORESTOWN,OAK,NULL,1,AVENUE
NJ,MOORESTOWN,CENTRAL,NULL,111,AVENUE
NJ,MOORESTOWN,BORTON LANDING,NULL,146,ROAD
NJ,MOORESTOWN,WINDING,NULL,223,WAY
NJ,MOORESTOWN,RAMBLEWOOD,NULL,129,ROAD
NJ,MOORESTOWN,BENTLEY,NULL,721,COURT
NJ,MOORESTOWN,SUTTON,NULL,2,AVENUE
NJ,MOORESTOWN,HIGH,NULL,306,STREET
NJ,MOORESTOWN,FELLOWSHIP,NULL,222,ROAD
NJ,MOORESTOWN,WAGON BRIDGE,NULL,56,RUN
NJ,MOORESTOWN,MAIN,NULL,46,STREET
NJ,MOORESTOWN,SHIRLEY,NULL,23,AVENUE
NJ,MOORESTOWN,WESTBROOK,NULL,96,DRIVE
NJ,MOORESTOWN,COUNTRY CLUB,NULL,238,DRIVE
NJ,MOORESTOWN,COUNTRY CLUB,NULL,222,DRIVE
NJ,MOORESTOWN,MOORE,NULL,209,STREET
NJ,MOORESTOWN,BROADACRES,NULL,2,COURT
NJ,MOORESTOWN,FELLSWOOD,NULL,137,DRIVE
NJ,MOORESTOWN,FELLSWOOD,NULL,133,DRIVE
NJ,MOORESTOWN,CHURCH,NULL,1205,STREET
NJ,MOORESTOWN,LORRAINE,NULL,188,AVENUE
NJ,MOORESTOWN,STANLEY,NULL,198,AVENUE
NJ,MOORESTOWN,WALNUT,NULL,104,AVENUE
NJ,MOORESTOWN,FAIRVIEW,NULL,315,AVENUE
NJ,MOORESTOWN,WALNUT,NULL,14,AVENUE
NJ,MOORESTOWN,3RD,NULL,277,STREET
NJ,MOORESTOWN,BRIDGE,NULL,191,AVENUE
NJ,MOORESTOWN,MAPLE,NULL,140,AVENUE
NJ,LUMBERTON,ADLER,NULL,26,CIRCLE
NJ,LUMBERTON,FAWN,NULL,83,COURT
NJ,LUMBERTON,WELLINGTON,NULL,23,DRIVE
NJ,MOORESTOWN,LINDEN,NULL,257,STREET
NJ,MOORESTOWN,LINDEN,NULL,259,STREET
NJ,MAPLE SHADE,5TH,NULL,222,AVENUE
NJ,MOORESTOWN,3RD,NULL,456,STREET
NJ,MOORESTOWN,CENTER,NULL,14,STREET
NJ,MOORESTOWN,WESTFIELD,NULL,761,ROAD
NJ,MOORESTOWN,LINCOLN,NULL,220,AVENUE
NJ,MOORESTOWN,WINDSOCK,NULL,600,WAY
NJ,MOORESTOWN,TURNBERRY,NULL,5,COURT
NJ,MOORESTOWN,AUGUSTA,NULL,103,DRIVE
NJ,MOORESTOWN,MOORE,NULL,229,STREET
NJ,MOORESTOWN,TOM BROWN,NULL,340,ROAD
NJ,MOORESTOWN,GOLF VIEW,NULL,877,ROAD
NJ,MOORESTOWN,LIPPINCOTT,NULL,730,AVENUE
NJ,MOORESTOWN,MANOR,NULL,704,TERRACE
NJ,MOORESTOWN,NEW ALBANY,NULL,120,ROAD
NJ,MOORESTOWN,CENTRAL,NULL,119,AVENUE
NJ,MOORESTOWN,CENTRAL,NULL,4,AVENUE
NJ,MOORESTOWN,CHURCH,NULL,301,STREET
NJ,MOORESTOWN,CAMDEN,NULL,428,AVENUE
NJ,MOORESTOWN,KINGS,NULL,406,HIGHWAY
NJ,MOORESTOWN,EVERGREEN,NULL,218,DRIVE
NJ,MOORESTOWN,COLONIAL,NULL,301,RIDGE
NJ,MOORESTOWN,EVERGREEN,NULL,300,DRIVE
NJ,MOORESTOWN,BEACON,NULL,607,STREET
NJ,MOORESTOWN,MAPLE,NULL,142,AVENUE
NJ,MOORESTOWN,PARKER,NULL,405,AVENUE
NJ,MOORESTOWN,KENILWORTH,NULL,329,AVENUE
NJ,MOORESTOWN,COLLINS MILL,NULL,1,COURT
NJ,MOORESTOWN,2ND,NULL,21,STREET
NJ,MOORESTOWN,AVON,NULL,124,TERRACE
NJ,MOORESTOWN,CAMDEN,NULL,586,AVENUE
NJ,MOORESTOWN,VICTORIA,NULL,4,COURT
NJ,MOORESTOWN,CASTLETON,NULL,22,LANE
NJ,MOORESTOWN,HARPER,NULL,305,DRIVE
NJ,MOORESTOWN,LEEDS,NULL,13,ROAD
NJ,MOORESTOWN,FERNWOOD,NULL,933,ROAD
NJ,MOORESTOWN,LIPPINCOTT,NULL,732,AVENUE
NJ,MOORESTOWN,HERITAGE,NULL,890,ROAD
NJ,MOORESTOWN,RIDING,NULL,108,DRIVE
NJ,MOORESTOWN,RIDING,NULL,301,DRIVE
NJ,MOORESTOWN,SHIRLEY,NULL,9,AVENUE
NJ,MOORESTOWN,LINCOLN,NULL,607,TERRACE
NJ,MOORESTOWN,BEACON,NULL,589,STREET
NJ,MOORESTOWN,KINGS,NULL,721,HIGHWAY
NJ,MOORESTOWN,PLEASANT VALLEY,NULL,301,AVENUE
NJ,MOUNT HOLLY,SHREVE,NULL,103,STREET
NJ,MOUNT HOLLY,HICKORY,NULL,152,STREET
NJ,MOUNT HOLLY,RIDGEWAY,NULL,312,STREET
NJ,MOORESTOWN,SPRUCE,NULL,29,COURT
NJ,MOORESTOWN,CENTRAL,NULL,17,AVENUE
NJ,MOORESTOWN,CAMDEN,NULL,107,AVENUE
NJ,MOORESTOWN,LINCOLN,NULL,115,AVENUE
NJ,MOORESTOWN,LINCOLN,NULL,114,AVENUE
NJ,MOORESTOWN,VICTORIA,NULL,1,COURT
NJ,MOORESTOWN,SHEFFIELD,NULL,10,DRIVE
NJ,MOORESTOWN,RAMBLEWOOD,NULL,152,ROAD
NJ,MOORESTOWN,WINDING,NULL,208,WAY
NJ,MOORESTOWN,MINDY,NULL,21,DRIVE
NJ,MOORESTOWN,GARWOOD,NULL,750,ROAD
NJ,MOORESTOWN,FELLOWSHIP,NULL,101,ROAD
NJ,MOORESTOWN,3RD,NULL,324,STREET
NJ,MOORESTOWN,MADISON,NULL,334,AVENUE
NJ,MOORESTOWN,CHESTNUT,NULL,520,STREET
NJ,MOORESTOWN,LAURENCE,NULL,204,DRIVE
NJ,MOORESTOWN,CHESTNUT,NULL,127,STREET
NJ,MOORESTOWN,CHESTNUT,NULL,199,STREET
NJ,MOORESTOWN,STONEHOUSE,NULL,729,ROAD
NJ,MOORESTOWN,STANWICK,NULL,725,ROAD
NJ,MOORESTOWN,EXECUTIVE,NULL,230,DRIVE
NJ,MOORESTOWN,2ND,NULL,115,STREET
NJ,MOORESTOWN,LAUREL CREEK,NULL,210,BOULEVARD
NJ,MOORESTOWN,COUNTRY CLUB,NULL,247,DRIVE
NJ,MOORESTOWN,WINSTEAD,NULL,210,AVENUE
NJ,MOORESTOWN,ALBANY ACRES,NULL,318,NULL
NJ,MOORESTOWN,PHEASANT FIELD,NULL,108,LANE
NJ,MOORESTOWN,BRIDGEBORO,NULL,101,ROAD
NJ,MOORESTOWN,OVERBROOK,NULL,3,CIRCLE
NJ,MOORESTOWN,WHITTIER,NULL,16,AVENUE
NJ,MOORESTOWN,OLDERSHAW,NULL,408,AVENUE
NJ,MOORESTOWN,PERRY,NULL,199,AVENUE
NJ,MOORESTOWN,FARMDALE,NULL,340,ROAD
NJ,MOORESTOWN,BETHEL,NULL,540,AVENUE
NJ,MOORESTOWN,CENTRAL,NULL,234,AVENUE
NJ,MOORESTOWN,3RD,NULL,271,STREET
NJ,MOORESTOWN,KENILWORTH,NULL,418,AVENUE
NJ,MOORESTOWN,RAMBLEWOOD,NULL,185,ROAD
NJ,MOORESTOWN,BOWLING,NULL,516,GREEN
NJ,MOORESTOWN,KENILWORTH,NULL,408,AVENUE
NJ,MOORESTOWN,COLLINS,NULL,307,AVENUE
NJ,MOORESTOWN,RAMBLEWOOD,NULL,111,ROAD
NJ,MOORESTOWN,SPRINGHOUSE,NULL,275,LANE
NJ,MOORESTOWN,BENTLEY,NULL,730,COURT
NJ,MOORESTOWN,WASHINGTON,NULL,341,AVENUE
NJ,MOORESTOWN,HAINES,NULL,5,DRIVE
NJ,MOORESTOWN,TOLL HOUSE,NULL,413,LANE
NJ,MOORESTOWN,MEADOW,NULL,1,DRIVE
NJ,MOORESTOWN,FELLOWSHIP,NULL,102,ROAD
NJ,MOORESTOWN,PEMBROOK,NULL,211,AVENUE
NJ,MOORESTOWN,SOMERS,NULL,116,AVENUE
NJ,MOORESTOWN,KENWOOD,NULL,304,DRIVE
NJ,MOORESTOWN,CENTRAL,NULL,54,AVENUE
NJ,MOORESTOWN,LENOLA,NULL,275,ROAD
NJ,MOORESTOWN,BEACON,NULL,614,STREET
NJ,MOORESTOWN,LAUREL CREEK,NULL,403,BOULEVARD
NJ,MOORESTOWN,MUIR FIELD,NULL,119,COURT
NJ,MOORESTOWN,CENTER,NULL,237,STREET
NJ,MOORESTOWN,RED LEAF,NULL,39,ROAD
NJ,MOORESTOWN,WESTOVER,NULL,305,ROAD
NJ,MOORESTOWN,LIPPINCOTT,NULL,716,AVENUE
NJ,MOORESTOWN,WASHINGTON,NULL,231,AVENUE
NJ,MOORESTOWN,CHURCH,NULL,427,STREET
NJ,MOORESTOWN,SOMERS,NULL,100,AVENUE
NJ,MOORESTOWN,SHADY,NULL,439,LANE
NJ,MOORESTOWN,MAIN,NULL,215,STREET
NJ,MOORESTOWN,COLONIAL,NULL,311,AVENUE
NJ,MOORESTOWN,FAIRVIEW,NULL,313,AVENUE
NJ,MOORESTOWN,3RD,NULL,322,STREET
NJ,MOUNT HOLLY,GRANT,NULL,218,STREET
NJ,MOUNT HOLLY,WASHINGTON,NULL,55,STREET
NJ,MOORESTOWN,2ND,NULL,327,STREET
NJ,MOORESTOWN,MAIN,NULL,335,STREET
NJ,MOORESTOWN,LINDEN,NULL,233,STREET
NJ,MOORESTOWN,CHESTNUT,NULL,319,STREET
NJ,MOORESTOWN,EASTBOURNE,NULL,201,TERRACE
NJ,MOORESTOWN,MAPLE,NULL,123,AVENUE
NJ,MOORESTOWN,SENTINEL,NULL,415,ROAD
NJ,MOORESTOWN,PADDOCK,NULL,729,PATH
NJ,MOORESTOWN,MANNION,NULL,205,AVENUE
NJ,MOORESTOWN,MANNION,NULL,207,AVENUE
NJ,MOORESTOWN,MANNION,NULL,216,AVENUE
NJ,MOORESTOWN,2ND,NULL,315,STREET
NJ,MOORESTOWN,MAIN,NULL,302,STREET
NJ,MOORESTOWN,3RD,NULL,283,STREET
NJ,MOORESTOWN,2ND,NULL,343,STREET
NJ,MOORESTOWN,MAIN,NULL,227,STREET
NJ,MOORESTOWN,MAIN,NULL,224,STREET
NJ,MOORESTOWN,MAIN,NULL,133,STREET
NJ,MOORESTOWN,STANWICK,NULL,315,ROAD
NJ,MOORESTOWN,LENOLA,NULL,858,ROAD
NJ,MOORESTOWN,CRIDER,NULL,23,AVENUE
NJ,MOORESTOWN,CENTER,NULL,3,STREET
NJ,MOORESTOWN,TOM BROWN,NULL,315,ROAD
NJ,MOORESTOWN,AUGUSTA,NULL,119,DRIVE
NJ,MOORESTOWN,2ND,NULL,416,STREET
NJ,MOORESTOWN,HEATHER,NULL,4,LANE
NJ,MOORESTOWN,MURRAY,NULL,18,ROAD
NJ,MOORESTOWN,SHEFFIELD,NULL,21,DRIVE
NJ,MOORESTOWN,SHEFFIELD,NULL,26,DRIVE
NJ,MOORESTOWN,CHESTER,NULL,301,AVENUE
NJ,MOORESTOWN,COUNTRY CLUB,NULL,100,DRIVE
NJ,MOORESTOWN,OAKMONT,NULL,112,DRIVE
NJ,MOORESTOWN,LENOLA,NULL,720,ROAD
NJ,MOORESTOWN,PINE,NULL,100,STREET
NJ,MOORESTOWN,CRIDER,NULL,36,AVENUE
NJ,MOORESTOWN,MAIN,NULL,445,STREET
NJ,MOORESTOWN,OAK,NULL,20,AVENUE
NJ,MOORESTOWN,MIDDLETON,NULL,23,ROAD
NJ,MOORESTOWN,WALNUT,NULL,108,AVENUE
NJ,MOORESTOWN,CHURCH,NULL,439,STREET
NJ,MOORESTOWN,LIPPINCOTT,NULL,713,AVENUE
NJ,MOORESTOWN,3RD,NULL,119,STREET
NJ,MOORESTOWN,3RD,NULL,121,STREET
NJ,MOORESTOWN,KINGS,NULL,414,HIGHWAY
NJ,MOORESTOWN,KINGS,NULL,505,HIGHWAY
NJ,MOORESTOWN,WINDSOR,NULL,606,PLACE
NJ,MOUNT HOLLY,MARTIN,NULL,390,AVENUE
NJ,MOORESTOWN,CHESTER,NULL,509,AVENUE
NJ,MOORESTOWN,SHIRLEY,NULL,30,AVENUE
NJ,MOORESTOWN,KINGS,NULL,85,HIGHWAY
NJ,MOORESTOWN,LAUREL CREEK,NULL,414,BOULEVARD
NJ,MOORESTOWN,LAUREL CREEK,NULL,324,BOULEVARD
NJ,MOORESTOWN,RED LEAF,NULL,72,ROAD
NJ,MOORESTOWN,GRANT,NULL,119,AVENUE
NJ,MOORESTOWN,GRANT,NULL,101,AVENUE
NJ,MOORESTOWN,GRANT,NULL,100,AVENUE
NJ,MOORESTOWN,DORCHESTER,NULL,2,LANE
NJ,MOORESTOWN,CASTLETON,NULL,23,LANE
NJ,MOORESTOWN,HAINES,NULL,155,DRIVE
NJ,MOORESTOWN,RAMBLEWOOD,NULL,145,ROAD
NJ,MOORESTOWN,BORTON LANDING,NULL,110,ROAD
NJ,MOORESTOWN,WINDERMERE,NULL,15,DRIVE
NJ,MOORESTOWN,CHURCH,NULL,303,STREET
NJ,MOORESTOWN,COLONIAL,NULL,211,RIDGE
NJ,MOORESTOWN,PARKER,NULL,410,AVENUE
NJ,MOORESTOWN,3RD,NULL,413,STREET
NJ,MOORESTOWN,KINGS,NULL,525,HIGHWAY
NJ,MOORESTOWN,VALLEY VIEW,NULL,12,TERRACE
NJ,MOORESTOWN,COLONIAL,NULL,13,RIDGE
NJ,MOORESTOWN,LAKEVIEW,NULL,42,DRIVE
NJ,MOORESTOWN,KINGS,NULL,704,HIGHWAY
NJ,MOORESTOWN,HOMESTEAD,NULL,109,COURT
NJ,MOUNT HOLLY,RIDGEWAY,NULL,28,STREET
NJ,MOUNT HOLLY,UNION,NULL,18,STREET
NJ,MOUNT LAUREL,TARA,NULL,21,DRIVE
NJ,MOUNT HOLLY,MARTIN,NULL,371,AVENUE
NJ,MOORESTOWN,OAK,NULL,70,AVENUE
NJ,MOORESTOWN,3RD,NULL,60,STREET
NJ,MOORESTOWN,3RD,NULL,62,STREET
NJ,MOORESTOWN,OAK,NULL,18,AVENUE
NJ,MOORESTOWN,MAIN,NULL,69,STREET
NJ,MOORESTOWN,LENOLA,NULL,267,ROAD
NJ,MOORESTOWN,LAUREL CREEK,NULL,418,BOULEVARD
NJ,MOORESTOWN,LAUREL CREEK,NULL,314,BOULEVARD
NJ,MOORESTOWN,RED LEAF,NULL,46,ROAD
NJ,MOORESTOWN,ANDREWS,NULL,204,LANE
NJ,MOORESTOWN,STANWICK,NULL,820,ROAD
NJ,MOORESTOWN,CAMDEN,NULL,210,AVENUE
NJ,MOORESTOWN,CAMDEN,NULL,612,AVENUE
NJ,MOORESTOWN,LINCOLN,NULL,208,AVENUE
NJ,MOORESTOWN,LENOLA,NULL,109,ROAD
NJ,MOORESTOWN,NEW ALBANY,NULL,16,ROAD
NJ,MOORESTOWN,LENOLA,NULL,36,ROAD
NJ,MOUNT LAUREL,CHURCH,NULL,4000,ROAD
NJ,MOUNT LAUREL,SCHOOLHOUSE,NULL,137,LANE
NJ,MOORESTOWN,RIDING,NULL,305,DRIVE
NJ,MOUNT HOLLY,GREEN,NULL,41,STREET
NJ,MOUNT HOLLY,BROAD,NULL,16,STREET
NJ,MOUNT HOLLY,SHREVE,NULL,94,STREET
NJ,MOUNT HOLLY,UNION,NULL,37,STREET
NJ,MOUNT HOLLY,UNION,NULL,21,STREET
NJ,MOUNT HOLLY,HOMESTEAD,NULL,509,AVENUE
NJ,MOUNT HOLLY,HILTON,NULL,34,ROAD
NJ,MOUNT HOLLY,SHELMORE,NULL,104,DRIVE
NJ,MOUNT HOLLY,HICKORY,NULL,149,STREET
NJ,MOUNT HOLLY,STEVENS,NULL,505,DRIVE
NJ,MOUNT HOLLY,RIDGEWAY,NULL,358,STREET
NJ,MOUNT LAUREL,CHAUCER,NULL,133,ROAD
NJ,MOUNT LAUREL,WALTON,NULL,564,AVENUE
